Host                                       |State|Time       |Falls|Availab|rTime |AvailabTotal|zPingsMes|PingTotal|PingsMes|
PJ-AZEITAO-FORTEL-10M-339642               |UP   |12d22h40min|    1| 99,86%|  17ms|  99,86%|     1|   719|   719|
PJ-BACABAL-FORTEL-20M-307264               |UP   |12d22h40min|    1| 99,86%|  15ms|  99,86%|     1|   719|   719|
PJ-BACURI-FORTEL-10M-345286                |UP   |12d22h40min|    2| 99,72%|  23ms|  99,72%|     2|   719|   719|
PJ-BALSAS-FORTEL-20M-314146                |UP   |12d22h40min|    1| 99,86%|  16ms|  99,86%|     1|   719|   719|
PJ-BARAO-GRAJAU-FORTEL-10M-345594          |UP   |12d22h19min|    3| 99,44%|  37ms|  99,44%|     4|   719|   719|
PJ-BARRA-CORDA-FORTEL-20M-329708           |UP   |12d22h40min|    1| 99,86%|  20ms|  99,86%|     1|   719|   719|
PJ-BARREIRINHAS-FORTEL-20M-315888          |UP   |12d22h40min|    5| 82,34%|  23ms|  82,34%|   127|   719|   719|
PJ-BEQUIMAO-FORTEL-10M-328068              |UP   |12d22h40min|    1| 99,86%|  21ms|  99,86%|     1|   719|   719|
PJ-BOM-JARDIM-FORTEL-10M-343412            |UP   |12d22h40min|    1| 99,86%|  26ms|  99,86%|     1|   719|   719|
PJ-BREJO-FORTEL-10M-340212                 |UP   |12d22h40min|    2| 99,72%|  13ms|  99,72%|     2|   719|   719|
PJ-BURITI-BRAVO-FORTEL-10M-343314          |UP   |12d22h40min|    2| 99,72%|  13ms|  99,72%|     2|   719|   719|
PJ-BURITI-FORTEL-10M-342044                |UP   |12d22h14min|   14| 97,77%|  12ms|  97,77%|    16|   718|   718|
PJ-BURITICUPU-FORTEL-10M-331014            |UP   |12d22h40min|    1| 99,85%|  17ms|  99,85%|     1|   677|   677|
PJ-BURITICUPU-FORTEL-20M-331014            |UP   | 8d21h39min|    0|100,00%|  30ms| 100,00%|     0|    42|    42|
PJ-CANDIDO-MENDES-FORTEL-10M-341998        |UP   |12d22h37min|    2| 99,72%|  25ms|  99,72%|     2|   719|   719|
PJ-CANTANHEDE-FORTEL-10M-310768            |UP   |12d22h40min|    2| 99,72%|  19ms|  99,72%|     2|   719|   719|
PJ-CAROLINA-FORTEL-10M-342164              |UP   |12d22h14min|    6| 99,17%|  33ms|  99,17%|     6|   719|   719|
PJ-CARUTAPERA-FORTEL-10M-343102            |UP   |12d22h40min|    1| 99,86%|  20ms|  99,86%|     1|   719|   719|
